logSection	time	logText	value
Initialisation	497	Initialising System	
Initialisation	499	Loading base map OSM	
Initialisation	500	initialiseTable()	
Initialisation	502	Add Scenario: 1	
Initialisation	507	Add Scenario: 2	
Initialisation	510	Add Scenario: 3	
Initialisation	511	Adding a new filter: Filter1	
Initialisation	530	selectFilter(Filter1)	
Initialisation	535	setPrompt() oldPrompt=-1, newPrompt=0	
Initialisation	536	Change Hypothesis Colour Control - Hypothesis Number 1	
Initialisation	687	loadInitialItems()	
Initialisation	692	Initialisation completed successfully	
Tutorial	1	----- Starting Tutorial -----	
Tutorial	1	Initialising System	
Tutorial	3	Loading base map OSM	
Tutorial	7	initialiseTable()	
Tutorial	8	Add Scenario: 1	
Tutorial	14	Add Scenario: 2	
Tutorial	18	Add Scenario: 3	
Tutorial	21	Adding a new filter: Filter1	
Tutorial	32	selectFilter(Filter1)	
Tutorial	109	setPrompt() oldPrompt=-1, newPrompt=0	
Tutorial	110	Change Hypothesis Colour Control - Hypothesis Number 1	
Tutorial	249	loadInitialItems()	
Tutorial	253	Initialisation completed successfully	
Tutorial	254	ExperimentInstructions Step 1/13	
Tutorial	105889	Welcome Form:	
Tutorial	105889	userName: MERLET	
Tutorial	105889	itSkills: 3	
Tutorial	105889	gisSkills: 3	
Tutorial	105889	ignKey: 5kd6ig0zr5qidm1a2eecw0r8	
Tutorial	105890	ignLogin: choucasign:choucasign	
Tutorial	105890	Loading base map IGN	
Tutorial	105897	ExperimentInstructions Step 2/13	
Tutorial	121465	ExperimentInstructions Step 3/13	
Tutorial	121465	setPrompt() oldPrompt=-1, newPrompt=0	
Tutorial	164380	Tree search box updated: Filter1, C	
Tutorial	164683	Tree search box updated: Filter1, C	
Tutorial	164849	Tree search box updated: Filter1, CR	
Tutorial	164944	Tree search box updated: Filter1, CR	
Tutorial	165043	Tree search box updated: Filter1, CROI	
Tutorial	165112	Tree search box updated: Filter1, CROI	
Tutorial	165177	Tree search box updated: Filter1, CROI	
Tutorial	165242	Tree search box updated: Filter1, CROI	
Tutorial	165431	Tree search box updated: Filter1, CROIX	
Tutorial	165503	Tree search box updated: Filter1, CROIX	
Tutorial	166360	Tree search box updated: Filter1, CROIX	
Tutorial	166431	Tree search box updated: Filter1, CROIX	
Tutorial	166507	Tree search box updated: Filter1, CROIX C	
Tutorial	166590	Tree search box updated: Filter1, CROIX C	
Tutorial	168464	Tree search box updated: Filter1, CROIX	
Tutorial	168539	Tree search box updated: Filter1, CROIX	
Tutorial	169837	Tree node hover start: filter=Filter1, nodeName=Croix de Belledonne, isFolder=false, nodeRef=26864747	
Tutorial	170086	Tree node hover start: filter=Filter1, nodeName=Croix de Chamrousse, isFolder=false, nodeRef=2956262177	
Tutorial	171142	setPrompt() oldPrompt=0, newPrompt=1	
Tutorial	171143	Node Selected: filter=Filter1, nodeName=Croix de Chamrousse, isFolder=false, nodeRef=2956262177	
Tutorial	171144	Filter Updated: Filter1 Buffer=, Distance=, SelectedItems=2956262177-Croix de Chamrousse	
Tutorial	171146	updateZoneForCurrentFilter()	
Tutorial	171149	recalcZones()	
Tutorial	171270	Scenarios recalculated in:	121
Tutorial	177346	Tree node hover start: filter=Filter1, nodeName=La Croix de Cassini, isFolder=false, nodeRef=332955335	
Tutorial	186521	bufferChanged() Filter1, 0.1	
Tutorial	186521	setPrompt() oldPrompt=1, newPrompt=2	
Tutorial	186523	selectFilter(Filter1)	
Tutorial	186753	Filter Updated: Filter1 Buffer=0.1, Distance=, SelectedItems=2956262177-Croix de Chamrousse	
Tutorial	186753	updateZoneForCurrentFilter()	
Tutorial	186754	User aborted calculation of zone after data point number warning with data points=1	
Tutorial	186800	Zone recalculated for Filter1 in: 	46
Tutorial	186800	recalcZones()	
Tutorial	186915	Scenarios recalculated in:	115
Tutorial	186962	bufferChanged() Filter1, 0.2	
Tutorial	186963	setPrompt() oldPrompt=2, newPrompt=2	
Tutorial	186964	selectFilter(Filter1)	
Tutorial	187015	Filter Updated: Filter1 Buffer=0.2, Distance=, SelectedItems=2956262177-Croix de Chamrousse	
Tutorial	187015	updateZoneForCurrentFilter()	
Tutorial	187016	User aborted calculation of zone after data point number warning with data points=1	
Tutorial	187027	Zone recalculated for Filter1 in: 	11
Tutorial	187027	recalcZones()	
Tutorial	187143	Scenarios recalculated in:	115
Tutorial	187173	bufferChanged() Filter1, 0.3	
Tutorial	187173	setPrompt() oldPrompt=2, newPrompt=2	
Tutorial	187173	selectFilter(Filter1)	
Tutorial	187228	Filter Updated: Filter1 Buffer=0.3, Distance=, SelectedItems=2956262177-Croix de Chamrousse	
Tutorial	187228	updateZoneForCurrentFilter()	
Tutorial	187229	User aborted calculation of zone after data point number warning with data points=1	
Tutorial	187246	Zone recalculated for Filter1 in: 	17
Tutorial	187247	recalcZones()	
Tutorial	187364	Scenarios recalculated in:	116
Tutorial	187720	selectFilter(Filter1)	
Tutorial	189167	bufferChanged() Filter1, .3	
Tutorial	189167	setPrompt() oldPrompt=2, newPrompt=2	
Tutorial	189167	selectFilter(Filter1)	
Tutorial	189205	Filter Updated: Filter1 Buffer=.3, Distance=, SelectedItems=2956262177-Croix de Chamrousse	
Tutorial	189205	updateZoneForCurrentFilter()	
Tutorial	189207	User aborted calculation of zone after data point number warning with data points=1	
Tutorial	189222	Zone recalculated for Filter1 in: 	14
Tutorial	189222	recalcZones()	
